No.,English,华语,推薦,漢字,音字正讀,台羅正讀,台羅簡,Taiji
1,I,我,我,我,와ˊ,wá,wa,wa4
2,you (singular),你,汝,汝,루ˊ,lú,lu,loo4
3,he,他,伊,伊,이·,i,i,ee1
4,we,我们,我랑ˆ,我儂,와ˊ랑ˆ,wá—lâng,wa lang,wa4lang2
5,you (plural),你们,汝儂,汝儂,루ˊ랑ˆ,lú—lâng,lu lang,loo4lang2
6,they,他们,伊랑ˆ,伊儂,이·랑ˆ,i--lâng,i lang,ee1lang2
7,this,这个,這个,這个,짇·의ˆ,tsit-ê,tsit e,cit1ay2
8,that,那个,彼个,彼个,힏·의ˆ,hit-ê,hit e,hit1ay2
9,here,这边,即爿,即爿,짇·븽ˆ,tsit-pêng,tsit peng,cit1peng2
10,there,那边,彼爿,彼爿,힏·븽ˆ,hit-pêng,hit peng,hit1peng2
11,who,谁,지쥐,是誰,지-쥐-,tsī-tsuī,tsi tsui,cee33cooi33
12,what,什么,하乜,哈乜,하·밓',ha--mi̍h,ha mih,ha1mik1
13,where,哪里,도落,佗落,도ˊ롷',tó-lo̍h,to loh,to1lok1
14,when,几时,디時,治時,디-시ˆ,tī-sî,ti si,tee33see1
15,how,怎样,按怎,按怎,안ˋ좌ᇫˊ,án-tsuánn,an tsuann,an1cnua4
16,not,不是,毋是,毋是,음-시-,m̄-sī,m si,mm33see33
17,all,全部,徦了,徦了,갛·ᄅᆤˊ,kah-liáu,kah liau,kak1liau4
18,many,多,濟,濟,즤-,tsē,tse,cay33
19,some,有些,有兮,有兮,우-의ˆ,ū-ê,ue,u33e2
20,few,少,少,少,죠ˊ,tsió,tsio,cio4
21,other,别的,別个,別个,받'의ˆ,pa̍t-ê,pat e,pat3ay2
22,one,一,一,一,짇',tsi̍t,tsit,cit1
23,two,二,兩,兩,너-,nōo,noo,nor33
24,three,三,三,三,사ᇫ·,sann,sann,sna1
25,four,四,四,四,시ˋ,sì,si,see3
26,five,五,五,五,꺼-,gōo,goo,gor33
27,big,大,大,大,돠-,tuā,tua,tua33
28,long,长,長,長,등ˆ,tn̂g,tng,tng2
29,wide,阔,闊,闊,쾋·,khuah,khuah,khuak3
30,thick,厚,厚,厚,ᄀᅷ-,kāu,kau,kau33
31,heavy,重,重,重,당-,tāng,tang,tang33
32,small,小,細,細,싀ˋ,sè,se,say3
33,short,短,短,短,듸ˊ,té,te,tay4
34,narrow,窄,隘,隘,읳',e̍h,eh,ek1
35,thin,瘦,㾪,㾪,산ˊ,sán,san,san4
36,woman,女人,자뻐,查某,자·뻐ˊ,tsa-bóo,tsa boo,ca3bor4
37,man (male),男人,다버,焦埔,다·버·,ta-poo,ta poo,ta3por1
38,man (human),人,랑ˆ,儂,랑ˆ,lâng,lang,lang2
39,child,小孩,囡仔,囡仔,낀ˊ아ˊ,gín-á,gin a,gin1ah4
40,wife,妻子,某,某,뻐ˊ,bóo,boo,bor4
41,husband,丈夫,尪,尪,앙·,ang,ang,ang1
